year,timhour,timperiod,day,month,acctyp,roadtyp,location,climate,cause,gender,national,age,licns,injLvl,vhcltyp,heavyVcl,insurtyp,harmlvl,vhcls,singlmltipl,prsns,death_wound,wounds,deaths
2011,1800,4,7,3,4,1,1,1,2,2,1,25,1,3,3,2,1,2,3,2,3,2,0,0
2010,1900,4,5,9,1,2,1,1,2,2,1,46,1,5,3,2,1,3,2,2,3,2,2,0
2010,1100,2,7,6,1,1,1,1,2,2,1,31,1,5,3,2,2,2,2,2,3,2,2,0
2009,900,2,4,5,2,1,1,1,2,2,1,44,1,3,3,2,2,3,3,2,3,2,1,0
2012,1700,3,7,3,1,1,1,1,2,2,1,29,1,5,3,2,1,2,2,2,3,2,1,0
2010,1200,2,2,3,2,2,1,1,2,1,1,15,2,4,3,2,2,2,2,2,2,3,0,0
2010,1300,3,2,5,1,1,1,1,2,1,2,30,1,5,3,2,2,1,2,2,2,2,2,0
2011,1100,2,2,5,2,2,1,1,2,1,1,38,1,5,3,2,2,2,2,2,2,2,1,0
2011,2400,4,4,3,2,1,1,1,2,1,1,56,1,5,3,2,2,3,1,1,2,2,1,0
2011,1300,3,3,2,1,1,1,1,2,1,1,21,1,5,3,2,1,3,2,2,2,2,1,0
2010,2400,4,6,10,1,1,1,1,2,1,1,23,1,4,3,2,2,4,2,2,2,3,0,0
2010,2000,4,2,9,1,1,1,1,2,1,1,26,1,4,3,2,2,2,2,2,2,2,1,0
2010,2400,4,7,7,1,2,1,1,2,1,1,30,1,3,3,2,2,2,2,2,2,2,2,0
2009,1400,3,4,12,3,2,1,1,2,1,1,21,1,4,3,2,2,3,2,2,2,2,1,0
2009,1300,3,5,11,1,2,1,1,2,1,1,51,1,3,3,2,2,2,2,2,2,3,0,0
2009,1200,2,6,8,1,1,1,1,2,1,1,49,1,5,3,2,1,2,2,2,2,2,2,0
2009,1700,3,2,5,1,2,1,1,2,2,2,47,1,5,3,2,2,3,2,2,2,2,1,0
2010,1700,3,3,5,1,1,1,1,2,2,2,36,1,4,3,2,2,2,2,2,2,2,1,0
2010,700,2,5,3,1,2,1,1,2,2,1,32,1,5,3,2,1,3,2,2,2,3,0,0
2010,1600,3,4,3,2,2,1,1,2,2,1,23,1,5,3,2,2,3,2,2,2,2,2,0
2010,1900,4,3,11,2,2,1,1,2,1,2,41,1,5,3,2,4,5,2,2,1,3,0,0
2011,100,1,3,6,1,1,1,1,2,1,1,57,1,5,3,2,4,5,2,2,1,3,0,0
2010,2100,4,3,5,2,2,1,1,2,1,1,31,1,3,3,2,1,3,1,1,1,3,0,0
2009,1700,3,4,5,1,2,1,1,2,2,1,35,1,4,3,2,4,5,2,2,1,3,0,0
2012,900,2,3,3,1,1,6,1,1,1,1,28,1,5,3,2,2,2,2,2,3,2,1,0
2011,100,1,6,8,5,1,4,1,1,1,1,19,1,2,3,2,2,2,2,2,3,2,2,0
2010,500,1,4,8,1,1,4,1,1,1,1,24,1,5,3,2,2,2,2,2,2,2,1,0
2010,700,2,1,8,2,1,4,1,1,2,1,40,1,5,3,2,1,3,2,2,2,3,0,0
2011,1200,2,5,10,2,1,5,1,1,1,2,35,1,4,3,2,1,1,2,2,3,2,2,0
2011,1100,2,1,8,3,1,5,1,1,1,2,35,1,3,3,2,2,2,3,2,3,2,1,0
2011,2000,4,3,8,3,1,5,1,1,1,2,31,1,5,3,2,1,2,2,2,2,2,1,0
2009,1100,2,1,10,1,1,5,1,1,2,2,28,1,5,3,2,1,1,2,2,2,2,1,0
2010,1400,3,4,2,1,2,3,1,1,1,1,22,1,3,3,2,2,2,2,2,3,2,1,0
2012,1900,4,1,3,1,1,3,1,1,1,1,50,1,3,3,2,2,2,2,2,2,2,1,0
2011,1900,4,1,2,1,2,3,1,1,1,1,40,1,4,3,2,1,3,1,1,2,2,1,0
2011,200,1,1,7,5,1,3,1,1,1,1,58,1,5,3,2,2,3,1,1,1,3,0,0
2011,100,1,2,5,1,2,1,1,1,1,2,49,1,5,3,2,1,3,2,2,3,2,1,0
2011,2200,4,6,9,1,1,1,1,1,1,1,42,1,4,3,2,2,2,2,2,3,2,2,0
2009,1500,3,7,1,1,2,1,1,1,1,1,27,1,5,3,2,2,2,2,2,3,2,2,0
2010,1600,3,1,1,4,2,1,1,1,1,2,32,1,5,3,2,1,3,1,1,2,2,1,0
2011,1000,2,6,7,4,1,1,1,1,1,2,44,1,4,3,2,1,3,1,1,2,2,1,0
2010,1900,4,6,5,4,2,1,1,1,1,2,28,1,4,3,2,2,3,1,1,2,2,1,0
2011,1000,2,6,8,2,1,1,1,1,1,1,27,1,5,3,2,2,3,1,1,2,1,0,1
2010,2100,4,2,8,3,1,1,1,1,1,1,53,1,5,3,2,2,2,1,1,2,1,0,1
2009,2000,4,6,12,1,2,1,1,1,1,1,49,1,3,3,2,2,2,1,1,2,1,0,1
2009,2000,4,1,6,2,1,1,1,1,1,1,26,1,5,3,2,1,2,1,1,2,1,0,1
2009,900,2,2,2,1,1,1,1,1,1,1,25,1,5,3,2,2,1,2,2,2,1,1,1
2009,1300,3,5,1,2,1,1,1,1,1,1,30,1,5,3,2,2,2,1,1,2,1,0,1
2012,1900,4,7,1,2,1,1,1,1,1,1,50,1,5,3,2,2,4,1,1,2,2,1,0
2011,1300,3,5,11,1,2,1,1,1,1,1,36,1,5,3,2,1,3,2,2,2,2,1,0
2011,2000,4,7,10,1,1,1,1,1,1,1,18,1,4,3,2,1,3,1,1,2,2,1,0
2011,1800,4,6,5,1,2,1,1,1,1,1,17,1,4,3,2,2,3,1,1,2,2,1,0
2011,2200,4,2,5,2,1,1,1,1,1,1,35,1,5,3,2,2,3,1,1,2,2,1,0
2010,2000,4,4,7,3,1,1,1,1,1,1,28,1,5,3,2,2,3,1,1,2,2,1,0
2010,2300,4,5,6,2,2,1,1,1,1,1,22,1,5,3,2,2,3,2,2,2,2,2,0
2010,2200,4,1,4,5,2,1,1,1,1,1,44,1,3,3,2,1,3,2,2,2,2,1,0
2010,1800,4,3,2,4,1,1,1,1,1,1,38,1,5,3,2,2,3,1,1,2,2,1,0
2009,1600,3,3,8,1,2,1,1,1,1,1,28,1,4,3,2,2,4,1,1,2,2,1,0
2009,2000,4,5,6,2,1,1,1,1,1,1,40,1,3,3,2,2,3,1,1,2,2,1,0
2009,1900,4,7,5,2,3,1,1,1,1,1,20,1,5,3,2,2,2,2,2,2,3,0,0
2009,2000,4,2,5,1,2,1,1,1,1,1,45,1,5,3,2,1,3,1,1,2,2,1,0
2009,1200,2,2,4,1,2,1,1,1,1,1,23,1,5,3,2,1,3,1,1,2,2,1,0
2009,1300,3,6,6,1,2,1,1,1,1,2,41,1,5,3,2,2,3,1,1,2,2,1,0
2010,2100,4,6,3,1,2,1,1,1,2,2,39,1,5,3,2,1,3,1,1,2,2,1,0
2010,1600,3,4,8,2,1,1,1,1,2,1,34,1,3,3,2,1,3,2,2,2,2,1,0
2010,1000,2,7,8,1,1,1,1,1,1,1,23,1,5,3,2,2,3,1,1,1,3,0,0
2012,1300,3,5,1,1,1,1,1,1,1,1,26,1,4,3,2,1,2,1,1,1,3,0,0
2011,1100,2,4,9,3,1,1,1,1,1,1,37,1,3,3,2,1,2,1,1,1,3,0,0
2011,100,1,5,9,1,2,1,1,1,1,1,24,1,4,3,2,1,4,1,1,1,3,0,0
2010,1900,4,2,11,4,1,1,1,1,1,1,21,1,5,3,2,2,2,1,1,1,3,0,0
2010,1000,2,2,8,2,1,1,1,1,1,1,52,1,3,3,2,2,2,1,1,1,3,0,0
2010,1900,4,1,7,3,1,1,1,1,1,1,29,1,2,3,2,1,2,1,1,1,3,0,0
2010,1700,3,7,4,4,2,1,1,1,1,1,32,1,4,3,2,2,2,2,2,1,3,0,0
2010,2400,4,1,1,1,1,1,1,1,1,1,50,1,4,3,2,2,4,1,1,1,2,1,0
2009,1300,3,6,11,1,1,1,1,1,1,1,27,1,5,3,2,2,2,1,1,1,3,0,0
2009,2200,4,4,3,1,1,1,1,1,1,1,24,1,2,3,2,2,3,1,1,1,2,1,0
2009,2100,4,7,7,1,1,1,1,1,1,2,27,1,3,3,2,2,1,1,1,1,1,0,1
2009,900,2,6,4,2,1,1,1,1,1,2,31,1,2,3,2,2,1,1,1,1,3,0,0
2009,300,1,1,1,2,2,1,1,1,2,1,35,1,4,3,2,2,3,1,1,1,3,0,0
2012,1100,2,7,2,2,1,1,1,5,1,2,26,1,5,3,1,2,3,2,2,2,2,1,0
2011,1100,2,4,12,3,1,4,1,3,1,2,35,1,5,3,1,2,1,2,2,2,1,0,1
2011,2400,4,5,5,3,2,1,1,3,1,2,37,1,4,3,1,2,4,1,1,2,2,1,0
2011,1700,3,5,2,2,1,1,1,2,1,2,28,1,5,3,1,1,3,2,2,3,2,1,0
2010,1000,2,6,4,3,2,1,1,2,1,1,49,1,5,3,1,2,3,2,2,3,2,1,0
2010,900,2,3,4,5,1,1,1,1,1,1,44,1,5,3,1,2,4,1,1,2,2,1,0
2011,1200,2,2,10,1,1,1,1,1,1,2,39,1,3,3,1,2,3,1,1,1,3,0,0
2009,900,2,7,9,2,1,1,1,7,1,2,30,1,4,3,2,3,5,1,1,3,2,3,0
2009,100,1,4,3,2,1,1,1,3,1,2,28,1,3,3,2,3,5,2,2,1,3,0,0
2011,1700,3,5,3,2,2,1,1,2,1,2,33,2,5,3,2,4,5,1,1,1,2,1,0
2010,1600,3,3,5,1,2,1,1,2,1,1,28,1,4,3,2,4,5,2,2,1,3,0,0
2010,1000,2,3,3,1,2,4,1,7,1,1,33,1,5,3,2,2,3,2,2,2,2,1,0
2012,1100,2,2,1,2,1,1,1,7,1,1,50,1,5,3,2,1,2,3,2,6,2,4,0
2011,1900,4,6,7,3,1,1,1,7,1,1,20,1,3,3,2,2,3,2,2,2,2,1,0
2011,1600,3,3,10,3,1,1,1,7,1,1,35,1,3,3,2,2,2,2,2,1,2,1,0
2009,1100,2,1,4,1,1,5,1,7,1,1,41,1,5,3,2,2,2,3,2,3,2,1,0
2009,800,2,4,7,2,2,1,1,7,1,1,22,1,4,3,2,1,2,2,2,11,2,10,0
2009,1300,3,3,3,1,1,3,2,6,1,1,22,1,5,3,2,1,1,2,2,2,2,2,0
2010,900,2,5,9,2,2,1,1,5,1,1,59,1,4,3,2,2,2,2,2,3,2,3,0
2010,1700,3,7,7,1,1,1,1,5,1,1,24,1,3,3,2,1,3,2,2,2,2,2,0
2009,1400,3,6,11,1,1,4,1,3,1,1,27,1,4,3,2,1,3,2,2,3,2,1,0
2010,900,2,1,2,1,1,5,1,3,1,1,21,1,5,3,2,1,3,1,1,2,2,1,0
2010,800,2,1,11,1,1,3,1,3,1,1,61,1,4,3,2,2,2,2,2,3,2,3,0
2011,1400,3,2,12,2,3,2,1,3,1,1,53,1,5,3,2,2,4,1,1,2,1,0,1
2009,2400,4,1,3,4,1,1,1,3,1,1,24,1,5,3,2,2,2,2,2,6,2,4,0
2011,1400,3,3,2,3,1,1,1,3,1,1,26,1,5,3,2,2,3,2,2,4,2,3,0
2010,1200,2,3,2,1,2,1,1,3,1,1,24,1,4,3,2,2,4,1,1,3,2,2,0
2009,2200,4,6,1,2,1,1,1,3,1,2,41,1,4,3,2,2,4,1,1,2,1,0,1
2012,1300,3,2,2,2,2,1,1,3,1,1,22,1,3,3,2,2,4,1,1,2,1,0,1
2011,1600,3,1,12,1,3,1,1,3,1,1,21,1,5,3,2,1,4,1,1,2,1,0,1
2010,1200,2,1,1,1,3,1,1,3,1,1,25,1,5,3,2,2,4,1,1,2,1,0,1
2010,1400,3,1,3,2,2,1,1,3,1,1,37,1,5,3,2,2,4,1,1,2,2,1,0
2010,1400,3,4,3,2,2,1,1,3,1,1,21,1,3,3,2,1,3,1,1,2,2,1,0
2010,600,2,5,9,1,1,6,1,2,1,1,30,1,2,3,2,1,4,3,2,6,2,3,0
2011,900,2,5,12,2,2,6,1,2,1,1,27,1,5,3,2,2,2,2,2,2,2,2,0
2011,1400,3,4,9,5,1,6,1,2,1,1,19,1,5,3,2,2,2,2,2,2,2,1,0
2010,1100,2,3,5,2,1,4,1,2,1,1,35,1,5,3,2,2,1,2,2,6,2,4,0
2010,600,2,6,10,1,1,4,1,2,1,1,51,1,5,3,2,2,2,2,2,2,3,0,0
2009,100,1,4,6,4,2,5,1,2,1,1,43,1,5,3,2,2,2,2,2,3,2,3,0
2011,1500,3,1,9,3,1,3,1,2,1,1,58,1,5,3,2,2,2,2,2,4,2,1,0
2009,700,2,3,2,1,1,3,1,2,1,1,47,1,4,3,2,1,1,2,2,3,2,2,0
2010,1300,3,3,11,2,1,3,1,2,1,1,26,1,4,3,2,2,3,2,2,2,2,1,0
2011,1800,4,5,3,4,2,1,1,2,1,1,23,1,4,3,2,2,1,2,2,15,2,15,0
2010,1500,3,5,6,1,1,1,1,2,1,1,27,1,5,3,2,2,1,2,2,9,2,9,0
2011,1700,3,2,6,1,1,1,1,2,2,1,63,1,5,3,2,2,3,2,2,6,2,5,0
2011,1300,3,1,1,1,1,1,1,2,1,1,18,1,5,3,2,2,3,3,2,4,2,1,0
2009,1900,4,5,2,4,1,1,1,2,1,1,19,1,5,3,2,2,2,3,2,4,2,3,0
2010,1100,2,4,11,1,2,1,1,2,1,1,20,1,4,3,2,2,2,2,2,3,2,2,0
2010,700,2,1,9,1,1,1,1,2,1,1,28,1,4,3,2,2,2,2,2,3,2,3,0
2010,700,2,2,7,3,1,1,1,2,1,1,40,1,4,3,2,2,3,3,2,3,2,1,0
2010,1700,3,4,1,1,2,1,1,2,1,1,22,1,4,3,2,2,2,3,2,3,2,1,0
2009,700,2,2,12,1,2,1,1,2,1,1,29,1,5,3,2,2,3,2,2,3,2,1,0
2012,1000,2,5,3,4,1,1,1,2,1,1,36,1,5,3,2,2,2,2,2,2,2,2,0
2011,800,2,2,1,1,2,1,1,2,1,1,19,1,5,3,2,1,2,2,2,2,2,1,0
2009,800,2,4,10,1,2,1,1,2,1,1,65,1,3,3,2,2,3,2,2,2,2,1,0
2009,1200,2,1,5,1,1,1,1,2,1,1,62,1,4,3,2,1,2,2,2,2,3,0,0
2009,1400,3,5,3,1,2,1,1,2,1,1,52,1,4,3,2,1,3,2,2,2,3,0,0
2010,1800,4,2,7,1,1,1,1,2,1,2,47,1,5,3,2,2,5,2,2,1,3,0,0
2010,2100,4,6,1,1,2,1,1,2,1,1,35,1,5,3,2,1,2,2,2,1,3,0,0
2011,2200,4,6,4,1,2,1,1,2,1,1,54,1,3,3,2,3,2,1,1,1,2,1,0
2012,2000,4,3,1,1,1,1,1,1,1,1,35,1,3,3,2,1,2,2,2,7,2,6,0
2010,1700,3,3,1,1,2,1,1,1,1,1,27,1,5,3,2,2,2,2,2,6,2,6,0
2010,2100,4,7,11,1,1,1,1,1,1,1,23,1,5,3,2,2,1,2,2,5,1,4,1
2010,700,2,7,1,2,2,1,1,1,1,1,29,1,4,3,2,2,1,2,2,5,1,3,1
2009,1400,3,1,11,4,2,1,1,1,1,1,64,1,5,3,2,2,2,3,2,5,2,2,0
2011,2100,4,4,12,3,1,1,1,1,1,1,36,1,5,3,2,2,3,1,1,3,1,2,1
2010,900,2,5,11,1,1,1,1,1,1,1,44,1,5,3,2,1,3,1,1,2,1,0,1
2012,1500,3,2,4,4,1,1,1,1,1,1,25,1,3,3,2,2,2,1,1,2,2,1,0
2012,600,2,2,4,1,1,1,1,1,1,1,48,1,4,3,2,2,3,2,2,2,3,0,0
2012,2300,4,3,3,2,2,1,1,1,1,1,23,1,5,3,2,2,3,1,1,2,2,1,0
2011,2100,4,7,9,1,3,1,1,1,1,1,25,1,4,3,2,2,3,1,1,2,2,1,0
2011,1900,4,7,9,2,1,1,1,1,1,1,30,1,5,3,2,2,1,2,2,2,2,1,0
2011,2000,4,5,8,2,2,1,1,1,1,1,26,1,3,3,2,2,3,1,1,2,2,1,0
2011,900,2,2,4,2,1,1,1,1,1,1,22,1,5,3,2,1,1,1,1,2,2,2,0
2011,700,2,2,1,1,2,1,1,1,1,1,23,1,5,3,2,2,3,1,1,2,2,1,0
2010,1300,3,5,10,2,2,1,1,1,1,1,22,1,4,3,2,1,3,1,1,2,2,1,0
2010,1600,3,3,5,2,1,1,1,1,1,1,41,1,5,3,2,2,3,1,1,2,2,1,0
2009,1700,3,2,3,1,1,1,1,1,1,1,60,1,3,3,2,2,1,2,2,2,2,2,0
2009,1300,3,7,1,1,2,1,1,1,1,1,28,1,4,3,2,2,4,1,1,2,2,1,0
2011,1900,4,5,4,1,1,1,1,1,1,1,23,1,5,3,2,2,2,1,1,1,2,1,0
2010,1200,2,1,8,2,1,1,1,1,1,1,18,1,4,3,2,1,2,1,1,1,3,0,0
2010,200,1,6,5,1,1,1,1,1,1,1,52,1,3,3,2,1,3,1,1,1,3,0,0
2011,1100,2,6,5,1,3,1,1,9,1,1,61,1,5,3,2,1,1,2,2,3,1,2,1
2011,900,2,1,4,1,1,1,1,8,1,1,19,1,2,3,2,2,2,2,2,4,2,3,0
2009,1200,2,6,8,1,1,1,1,8,1,1,18,1,5,3,2,2,1,2,2,3,2,2,0
2011,900,2,7,12,1,1,6,1,7,1,1,64,1,4,3,2,2,2,3,2,5,2,3,0
2009,2100,4,6,12,2,1,4,1,7,1,1,29,1,5,3,2,2,2,2,2,3,2,1,0
2011,700,2,1,9,4,2,1,1,7,1,1,41,1,5,3,2,2,2,2,2,5,2,3,0
2011,100,1,2,3,5,1,1,1,7,1,1,68,1,4,3,2,2,1,2,2,4,2,4,0
2009,2100,4,7,1,1,2,1,1,7,1,1,20,1,5,3,2,4,3,2,2,1,3,0,0
2009,1200,2,2,6,1,1,6,1,7,1,1,24,1,5,3,2,2,2,4,2,4,2,2,0
2009,1900,4,2,8,1,1,4,1,7,1,1,20,1,5,3,2,1,4,2,2,3,2,1,0
2011,300,1,1,11,1,1,4,1,7,1,1,19,1,5,3,2,1,1,2,2,2,2,1,0
2011,500,1,2,9,1,1,1,1,7,1,1,35,1,5,3,2,1,1,5,2,6,2,1,0
2011,700,2,3,11,1,1,1,1,7,1,1,36,1,5,3,2,2,2,2,2,3,2,2,0
2009,1800,4,6,7,5,2,1,1,7,1,1,54,1,5,3,2,2,2,3,2,2,3,0,0
2010,900,2,5,9,1,1,1,1,7,1,1,21,1,4,3,2,1,1,2,2,2,2,1,0
2009,1500,3,3,6,1,1,1,1,7,1,2,56,1,4,3,2,2,5,2,2,1,3,0,0
2011,1600,3,2,5,1,1,1,2,6,1,1,32,1,5,3,2,2,2,2,2,3,2,2,0
2010,1700,3,6,2,1,1,4,1,5,1,1,57,1,5,3,2,2,2,3,2,4,2,1,0
2011,200,1,5,12,1,1,3,1,5,1,1,28,1,5,3,2,2,2,2,2,4,2,3,0
2011,700,2,2,2,2,1,3,1,5,1,1,22,1,5,3,2,2,1,2,2,2,2,2,0
2009,1100,2,1,11,1,1,3,1,5,1,1,42,1,5,3,2,2,2,2,2,2,2,1,0
2009,1400,3,4,6,3,2,2,1,5,1,1,27,1,5,3,2,2,1,2,2,2,2,2,0
2010,2300,4,4,9,5,1,1,1,5,1,1,11,1,2,3,2,2,2,3,2,9,2,7,0
2009,400,1,3,8,1,1,1,1,5,1,2,27,1,5,3,2,2,1,2,2,7,2,7,0
2011,2400,4,5,10,2,1,1,1,5,1,1,32,1,4,3,2,1,1,2,2,7,1,4,3
2009,900,2,3,6,1,1,1,1,5,1,1,20,1,5,3,2,2,1,5,2,7,1,4,1
2009,1100,2,5,1,1,1,1,1,5,1,1,23,1,3,3,2,2,1,2,2,7,1,6,1
2011,1900,4,5,4,1,1,1,1,5,1,2,48,1,5,3,2,2,1,2,2,7,2,7,0
2011,1300,3,1,1,3,1,1,2,5,1,2,45,1,5,3,2,2,1,2,2,6,1,2,4
2009,1200,2,3,3,1,1,1,1,5,1,2,23,1,4,3,2,1,2,5,2,5,2,2,0
2009,500,1,7,7,1,1,1,1,5,1,1,55,1,5,3,2,2,1,2,2,5,1,3,1
2009,1300,3,3,11,1,1,1,1,5,1,2,41,1,3,3,2,1,2,3,2,4,2,3,0
2011,1500,3,1,7,1,2,1,1,5,1,1,20,1,5,3,2,2,1,2,2,4,1,3,1
2011,1100,2,1,5,2,1,1,1,5,1,1,39,1,4,3,2,2,1,2,2,4,2,4,0
2011,2200,4,2,5,2,2,1,1,5,1,2,20,1,5,3,2,2,2,2,2,3,2,3,0
2011,800,2,4,4,2,1,1,1,5,1,1,25,1,4,3,2,2,1,2,2,3,1,1,2
2012,100,1,2,3,1,1,1,1,5,1,1,67,1,4,3,2,2,2,2,2,3,2,2,0
2009,100,1,7,8,3,2,1,1,5,1,1,25,1,4,3,2,3,3,2,2,3,2,1,0
2009,1000,2,2,6,1,2,1,1,5,1,1,17,1,5,3,2,2,1,2,2,3,2,3,0
2009,900,2,5,11,2,2,1,1,5,1,2,38,1,5,3,2,1,2,2,2,2,2,2,0
2012,700,2,2,2,1,1,1,1,5,1,1,25,1,5,3,2,2,5,3,2,2,3,0,0
2012,1100,2,2,1,1,1,1,1,5,1,1,29,1,4,3,2,2,2,2,2,2,3,0,0
2011,1700,3,5,11,1,1,1,1,5,1,1,30,1,5,3,2,2,1,2,2,2,2,1,0
2011,1700,3,4,8,1,1,1,1,5,1,1,30,1,5,3,2,1,3,2,2,2,2,1,0
2010,1600,3,6,5,2,3,1,1,5,1,1,29,1,5,3,2,2,2,2,2,2,2,2,0
2009,100,1,2,2,1,1,1,1,5,1,1,28,1,5,3,2,2,2,2,2,2,3,0,0
2011,300,1,4,3,1,2,2,1,4,1,2,23,1,5,3,2,2,3,2,2,1,3,0,0
2011,1400,3,6,10,1,1,1,1,4,1,1,46,1,4,3,2,2,3,2,2,4,3,0,0
2011,2000,4,3,1,4,2,1,1,4,1,1,54,1,5,3,2,2,2,2,2,3,2,2,0
2009,2200,4,7,6,1,3,1,1,4,1,1,35,1,3,3,2,2,3,2,2,2,1,0,1
2009,600,2,2,9,1,2,6,1,3,1,1,72,1,4,3,2,2,3,1,1,2,1,0,1
2010,1000,2,4,11,3,2,6,1,3,1,1,30,1,3,3,2,2,3,1,1,2,2,1,0
2010,1000,2,1,7,2,2,6,1,3,1,1,25,1,3,3,2,1,4,1,1,2,2,1,0
2010,1400,3,7,9,1,2,2,1,3,2,1,65,1,4,3,2,2,2,2,2,4,2,2,0
2011,900,2,7,8,4,1,1,1,3,1,1,24,1,4,3,2,2,1,2,2,4,2,4,0
2009,1900,4,4,10,1,1,1,1,3,1,1,27,1,5,3,2,1,1,2,2,4,2,3,0
2011,1000,2,6,2,1,1,1,1,3,1,1,28,1,4,3,2,2,4,1,1,3,2,2,0
2010,1100,2,3,4,1,2,1,1,3,1,2,29,1,5,3,2,2,4,1,1,2,2,1,0
2011,1300,3,6,12,1,2,1,1,3,1,1,68,1,4,3,2,2,4,1,1,2,1,0,1
2011,800,2,3,12,1,3,1,1,3,1,1,49,1,5,3,2,2,4,1,1,2,1,0,1
2010,1800,4,6,10,2,2,1,1,3,1,1,23,1,5,3,2,1,4,1,1,2,1,0,1
2009,1400,3,2,11,2,2,1,1,3,1,1,36,1,5,3,2,2,4,1,1,2,1,0,1
2009,2000,4,7,8,5,2,1,2,3,1,1,21,1,5,3,2,2,1,1,1,2,2,1,0
2012,1200,2,5,2,2,2,1,1,3,1,1,37,1,5,3,2,1,4,1,1,2,2,1,0
2012,1100,2,1,2,1,2,1,1,3,1,1,53,1,5,3,2,2,4,1,1,2,2,1,0
2011,1500,3,6,10,1,2,1,1,3,1,1,19,1,4,3,2,1,4,1,1,2,2,1,0
2010,1700,3,3,11,1,2,1,1,3,1,1,57,1,5,3,2,2,2,2,2,2,2,1,0
2010,1100,2,4,4,1,1,1,1,3,1,1,37,1,5,3,2,1,4,1,1,2,2,1,0
2009,2000,4,7,3,4,3,1,1,3,1,1,27,1,2,3,2,1,4,1,1,2,2,1,0
2009,2000,4,1,2,3,1,1,1,3,1,1,51,1,3,3,2,2,2,2,2,2,3,0,0
2009,500,1,2,3,1,1,6,1,2,1,1,52,1,5,3,2,2,1,2,2,4,1,0,3
2010,2300,4,3,8,2,1,6,1,2,1,1,16,2,4,3,2,2,3,2,2,2,2,2,0
2009,1100,2,3,1,1,1,4,1,2,1,1,31,1,3,3,2,1,3,2,2,3,2,2,0
2009,2300,4,6,11,4,1,4,1,2,1,1,22,1,4,3,2,1,2,2,2,2,3,0,0
2009,800,2,7,2,3,1,5,1,2,1,2,58,1,3,3,2,2,3,2,2,2,3,0,0
2010,2100,4,7,10,3,1,3,1,2,1,1,34,1,5,3,2,2,2,2,2,6,2,6,0
2012,2000,4,2,4,2,1,3,1,2,1,1,23,1,5,3,2,2,1,2,2,5,1,4,1
2010,200,1,2,12,1,1,3,1,2,1,1,20,1,3,3,2,2,1,2,2,5,2,4,0
2011,2000,4,2,7,1,1,3,1,2,1,1,53,1,4,3,2,2,2,2,2,4,2,4,0
2010,1400,3,5,11,2,1,3,1,2,1,1,53,1,4,3,2,2,2,2,2,3,2,2,0
2010,2000,4,7,2,1,1,3,1,2,1,1,21,1,4,3,2,2,1,2,2,3,2,3,0
2010,1800,4,6,2,3,2,3,1,2,1,1,21,1,3,3,2,2,2,2,2,2,1,1,1
2011,2000,4,1,3,1,1,3,1,2,1,1,24,1,4,3,2,2,3,2,2,2,2,2,0
2010,2000,4,6,10,4,1,2,1,2,1,1,68,1,5,3,2,2,1,2,2,10,1,7,2
2011,1600,3,5,1,1,2,2,1,2,1,1,67,1,3,3,2,1,2,2,2,5,2,5,0
2010,1700,3,3,12,1,1,1,1,2,1,2,30,1,5,3,2,2,3,4,2,9,1,6,1
2009,1600,3,4,5,1,1,1,1,2,1,1,49,1,5,3,2,2,1,2,2,8,2,8,0
2011,2400,4,6,7,1,1,1,1,2,1,2,29,1,4,3,2,2,2,2,2,7,2,5,0
2011,2200,4,2,7,1,2,1,1,2,1,1,72,1,4,3,2,2,1,2,2,5,2,5,0
2009,900,2,7,12,1,2,1,1,2,1,1,35,1,4,3,2,2,3,2,2,5,2,3,0
2009,1500,3,4,7,1,2,1,1,2,1,2,29,1,3,3,2,1,2,3,2,4,2,2,0
2011,1400,3,3,4,1,3,1,1,2,1,1,20,1,3,3,2,2,2,2,2,4,2,2,0
2010,1500,3,7,12,1,2,1,1,2,1,1,45,1,5,3,2,3,2,4,2,4,2,4,0
2010,1100,2,5,11,2,1,1,1,2,1,1,26,1,4,3,2,2,1,2,2,4,2,3,0
2010,1100,2,4,9,1,2,1,1,2,1,1,27,1,5,3,2,2,1,2,2,4,2,3,0
2010,1700,3,6,6,1,2,1,1,2,1,1,32,1,5,3,2,2,3,2,2,4,2,3,0
2010,1500,3,7,6,5,2,1,1,2,1,1,21,1,5,3,2,2,2,2,2,4,2,4,0
2010,1400,3,1,5,1,2,1,1,2,1,1,20,1,5,3,2,2,2,2,2,4,2,3,0
2010,2100,4,5,4,2,2,1,1,2,1,1,26,1,5,3,2,2,1,2,2,4,2,3,0
2009,1400,3,1,9,1,1,1,1,2,1,1,22,1,4,3,2,1,1,2,2,4,2,4,0
2011,1000,2,5,10,1,3,1,1,2,1,1,30,1,5,3,2,2,2,2,2,3,2,1,0
2011,1000,2,7,8,1,2,1,1,2,1,1,22,1,3,3,2,2,2,2,2,3,2,3,0
2011,900,2,7,7,4,1,1,1,2,1,1,72,1,3,3,2,2,2,2,2,3,2,1,0
2011,700,2,2,3,2,1,1,1,2,1,1,20,1,5,3,2,2,2,2,2,3,2,1,0
2011,1800,4,6,2,2,1,1,1,2,1,1,68,1,4,3,2,2,3,2,2,3,2,1,0
2010,200,1,2,1,1,2,1,1,2,1,1,23,1,5,3,2,2,2,2,2,3,2,2,0
2010,1200,2,1,9,4,2,1,1,2,1,1,25,1,5,3,2,2,2,3,2,3,2,1,0
